AccidentUID,Unfalltyp,Unfallschwere,Fussgänger,Fahrrad,Motorrad,Strassentyp,Jahr,Monat,Wochentag,Stunde,Breitengrad,Längengrad,Datum
CF29A041134AC121E053DDB9D80AFB96,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Hauptstrasse,2021,8,Freitag,22,47.415373022606126,9.360540448527065,2021-08-01
982959A3F2077EC3E05329B9D80AEB69,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2019,10,Mittwoch,1,47.433107720154894,9.38354908143628,2019-10-01
6FFE8151115901C0E0530A8394276710,Frontalkollision,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2018,6,Donnerstag,7,47.444479322586,9.396364778026909,2018-06-01
CFF53F18F7CB6E5FE053DDB9D80A6BE5,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2021,8,Freitag,17,47.407489718833894,9.313580191913767,2021-08-01
8F5B15F7773FE410E05328B9D80A461A,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Autobahn,2019,7,Freitag,19,47.43701752709538,9.399750075169734,2019-07-01
990669C6A90348A1E05329B9D80A0B71,Fussgängerunfall,Unfall mit Schwerverletzten,True,False,False,Nebenstrasse,2019,11,Samstag,17,47.43711972969053,9.391055128881721,2019-11-01
56546482D9ED0192E0530A83942755F1,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,True,False,Hauptstrasse,2017,4,Montag,18,47.44165552153257,9.393635130247672,2017-04-01
701395C5E4310134E0530A839427B7FB,Überholunfall oder Fahrstreifenwechsel,Unfall mit Leichtverletzten,False,False,False,Autobahn,2018,6,Dienstag,7,47.42327893308452,9.34656179365348,2018-06-01
982959A3F4587EC3E05329B9D80AEB69,Frontalkollision,Unfall mit Leichtverletzten,False,False,True,Nebenstrasse,2019,11,Montag,17,47.413854908277756,9.37172530349081,2019-11-01
51C319ED542801A2E0530A839427E574,Einbiegeunfall,Unfall mit Leichtverletzten,False,False,True,Hauptstrasse,2017,4,Donnerstag,16,47.411497710810536,9.334807749612274,2017-04-01
CD95C8FF7E872660E053DDB9D80A3D2C,Einbiegeunfall,Unfall mit Leichtverletzten,False,True,False,Nebenstrasse,2021,8,Donnerstag,12,47.40240447355893,9.301475035208309,2021-08-01
8ECD5C1EDE1683D4E05328B9D80AE933,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,True,False,Hauptstrasse,2019,7,Donnerstag,14,47.444883823889874,9.416471917167769,2019-07-01
912D86E13F46BE00E05328B9D80AA514,Auffahrunfall,Unfall mit Leichtverletzten,True,False,False,Hauptstrasse,2019,7,Donnerstag,14,47.4190153284881,9.353580224220163,2019-07-01
990669C6A88448A1E05329B9D80A0B71,Abbiegeunfall,Unfall mit Leichtverletzten,False,True,False,Hauptstrasse,2019,11,Montag,17,47.425695674619746,9.372208377843753,2019-11-01
CFF53F18EF406E5FE053DDB9D80A6BE5,Fussgängerunfall,Unfall mit Schwerverletzten,True,False,False,Hauptstrasse,2021,8,Montag,5,47.40815151041267,9.32928145670398,2021-08-01
CF405DDC95396D63E053DDB9D80A7DBD,Abbiegeunfall,Unfall mit Leichtverletzten,False,True,False,Hauptstrasse,2021,8,Dienstag,7,47.44034980762269,9.410654148720496,2021-08-01
742B6FCEF3400198E0530A8394275CB9,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Autobahn,2018,6,Montag,17,47.43291850385807,9.385703406234914,2018-06-01
51E6CB868F2C0194E0530A839427A327,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Autobahn,2017,5,Freitag,18,47.420894195836944,9.360713280897679,2017-05-01
734E2554BBEF0188E0530A8394278D72,Tierunfall,Unfall mit Leichtverletzten,False,True,False,Nebenstrasse,2018,6,Freitag,16,47.43070421009198,9.377203199449866,2018-06-01
74A2B5BC77530170E0530A8394274234,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2018,6,Samstag,11,47.41907080589641,9.369170799942784,2018-06-01
D0697E36A5171BEAE053DDB9D80A5CEE,Überholunfall oder Fahrstreifenwechsel,Unfall mit Leichtverletzten,False,True,False,Hauptstrasse,2021,9,Montag,6,47.407683233518455,9.298267075814927,2021-09-01
74A2BC42304E0140E0530A839427DD88,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,False,True,Nebenstrasse,2018,7,Mittwoch,17,47.429921226439546,9.383644767048697,2018-07-01
E323B4AC3CEE01F0E0530AB38B02CC02,Überholunfall oder Fahrstreifenwechsel,Unfall mit Schwerverletzten,False,True,False,Nebenstrasse,2022,4,Montag,23,47.42857054960075,9.393843898045793,2022-04-01
DFFF52992D6B019CE0530AB38B02715C,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2022,4,Mittwoch,7,47.41874977141373,9.369000090660231,2022-04-01
DF593C0F66ED013CE0530AB38B02DDC6,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Autobahn,2022,4,Freitag,16,47.42501194711746,9.361962316626165,2022-04-01
74A2B94F8D700132E0530A839427CE18,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2018,7,Montag,15,47.43317277943742,9.390897064406833,2018-07-01
CD6FB6E0C63B34F6E053DDB9D80AB663,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,False,True,False,Hauptstrasse,2021,9,Dienstag,18,47.41888309119118,9.353416401020663,2021-09-01
91007791A74FE5ADE05328B9D80A9DD3,Einbiegeunfall,Unfall mit Leichtverletzten,False,False,True,Nebenstrasse,2019,8,Dienstag,17,47.41685997194155,9.347909081643687,2019-08-01
D15AD57C86B4DF3DE053DDB9D80AE7D6,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2021,9,Mittwoch,8,47.449683001389594,9.419926413919903,2021-09-01
E3984F35180001C8E0530AB38B02E34F,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,False,True,Nebenstrasse,2022,5,Mittwoch,1,47.42630172518009,9.381669706815455,2022-05-01
CD95C8FF75DB2660E053DDB9D80A3D2C,Einbiegeunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2021,9,Donnerstag,13,47.40909809371782,9.330812656876185,2021-09-01
9191B3DF8085B98DE05328B9D80AA3F6,Fussgängerunfall,Unfall mit Leichtverletzten,True,True,False,Nebenstrasse,2019,8,Donnerstag,17,47.42641945624738,9.37626494544911,2019-08-01
74A2BC422F6F0140E0530A839427DD88,Abbiegeunfall,Unfall mit Leichtverletzten,False,True,False,Hauptstrasse,2018,7,Freitag,15,47.407715247305575,9.326800975997203,2018-07-01
E3BFB51EB3DE01A8E0530AB38B0203FF,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,True,False,Nebenstrasse,2022,5,Samstag,14,47.43343307501107,9.423683762037639,2022-05-01
74A2B5BC7DDB0170E0530A8394274234,Einbiegeunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2018,7,Mittwoch,12,47.40908910218698,9.330812337330253,2018-07-01
E1006C91CB6D013AE0530AB38B02F54D,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2022,5,Montag,7,47.407489718833894,9.313580191913767,2022-05-01
E25D5F08CF300194E0530AB38B023451,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2022,5,Dienstag,4,47.42830020330052,9.376240610788672,2022-05-01
D0D1D8C1B97ADACAE053DDB9D80AD487,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2021,9,Donnerstag,18,47.40763590902527,9.302320688190056,2021-09-01
